description,segment,category,subcategory
CAFE CAP DOLCE GUSTO NESCAFE 10 UNI 117G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP DOLCE GUSTO NESCAFE 10 UNI 117G
CAFE CAP MELITTA ESPR RISTRETTO 50G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP MELITTA ESPR RISTRETTO 50G 10UN
CAFE CAP MELITTA ESPRE STACCATO 50G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP MELITTA ESPRE STACCATO 50G 10UN
CAFE CAP MELITTA ESPRES AUDACCE 50G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP MELITTA ESPRES AUDACCE 50G 10UN
CAFE CAP MELITTA ESPRES MARCATO 50G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP MELITTA ESPRES MARCATO 50G 10UN
CAFE CAP STARBUCKS NDG CARAMEL 127G 12UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP STARBUCKS NDG CARAMEL 127G 12UN
CAFE CAP STARBUCKS NESPRES BOLD 53G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP STARBUCKS NESPRES BOLD 53G 10UN
CAFE CAP STARBUCKS NESPRES COLO 57G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP STARBUCKS NESPRES COLO 57G 10UN
CAFE CAP STARBUCKS NESPRES HOUS 57G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP STARBUCKS NESPRES HOUS 57G 10UN
CAFE CAP STARBUCKS NESPRES PIKE 53G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP STARBUCKS NESPRES PIKE 53G 10UN
CAFE CAP STARBUCKS NESPRES ROST 57G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP STARBUCKS NESPRES ROST 57G 10UN
CAFE CAP STARBUCKS NESPRES VERON 55G 10U,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP STARBUCKS NESPRES VERON 55G 10U
CAFE CAP TRES CAFE FILT GOURMET 75G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP TRES CAFE FILT GOURMET 75G 10UN
CAFE CAP TRES CORACOES EXP ATEN 80G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP TRES CORACOES EXP ATEN 80G 10UN
CAFE CAP TRES CORACOES EXP DECA 80G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP TRES CORACOES EXP DECA 80G 10UN
CAFE CAP TRES CORACOES EXP PLEN 80G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP TRES CORACOES EXP PLEN 80G 10UN
CAFE CAP TRES CORACOES EXP SUPR 80G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP TRES CORACOES EXP SUPR 80G 10UN
CAFE CAP TRES CORACOES LAT MAC 110G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP TRES CORACOES LAT MAC 110G 10UN
CAFE CAP TRES EXPRESSO VIBRANTE 80G 10UN,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE CAP TRES EXPRESSO VIBRANTE 80G 10UN
