new_subcategory,family,category,segment
QUEIJO,7-LATICINIOS REFRIGERADOS,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
QUEIJO CREMOSO,7-LATICINIOS REFRIGERADOS,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
REQUEIJAO,7-LATICINIOS REFRIGERADOS,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
OUTROS,,7-PADARIA E CONFEITARIA,1-BENS DE CONSUMO
AGUA SANITARIA,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
ALCOOL,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
AROMATIZADOR,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
DESENGORDURANTE,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
DESINFETANTE,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
DESUMIDIFICADOR,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
DETERGENTE,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
ESCOVA DE LIMPEZA,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
ESPONJA,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
FORMICIDA,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
INSETICIDA,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
LIMPA VIDROS,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
LUSTRA MOVEIS,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
MULTIUSO,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
MULTIUSO LIMP SAN HARPIC 500MLLAV,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
NAFTALINA,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
OUTRO PRODUTO DE LIMPEZA,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
PALHA DE ACO,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
PEDRA SANITARIA,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
PRODUTO DE PISO,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
PRODUTO PARA SAPATOS,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
RATICIDA,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
REPELENTE,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
SABAO EM PASTA,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
SAPONACEO,80-LIMPEZA DOMESTICA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
BALDE,81-UTENSILIOS DE LIMPEZA E LAVANDERIA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
DESENTUPIDOR,81-UTENSILIOS DE LIMPEZA E LAVANDERIA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
LIXEIRA,81-UTENSILIOS DE LIMPEZA E LAVANDERIA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
LUVAS BORRACHA,81-UTENSILIOS DE LIMPEZA E LAVANDERIA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
PA LIXO,81-UTENSILIOS DE LIMPEZA E LAVANDERIA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
PANO PARA,81-UTENSILIOS DE LIMPEZA E LAVANDERIA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
RODO,81-UTENSILIOS DE LIMPEZA E LAVANDERIA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
SACO LIXO,81-UTENSILIOS DE LIMPEZA E LAVANDERIA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
VASSOURA,81-UTENSILIOS DE LIMPEZA E LAVANDERIA,32-PRODUTOS DE LIMPEZA,1-BENS DE CONSUMO
BRINQUEDO,82-ACESSORIOS PET,33-PET CARE,1-BENS DE CONSUMO
